"id","appId","displayName","publisherName"
"0bde59a4-772e-4b14-bb80-24c244f5193d","6a8b4b39-c021-437c-b060-5a14a3fd65f3","Verifiable Credentials Service Admin","Microsoft Services"
"0c0f5275-c0fb-4221-ad01-db571aa722ff","7eb352a9-3ed8-4644-b443-1ab4571c8e40","nonprodborges-id-823b",
"0c763ecb-53ab-4ec3-808d-1c59d2e9fd54","2a486b53-dbd2-49c0-a2bc-278bdfc30833","Cortana at Work Service","Microsoft Services"
"0cc7adda-55bf-4e3d-a611-bec9ea8fd6fe","58266b52-423f-436c-9ba6-e2024559c703","GitHubCreds","nonprodborges.com"
"0cd0a546-5a2b-46dd-a9e7-5cb267ce1002","8502a0ec-c76d-412f-836c-398018e2312b","AzureCommunicationsGateway","Microsoft Services"
"0d2a431b-404e-464a-95c4-2272e1b5e6c2","a9d57df8-cafb-4804-a35a-b61a59c26cd6","StorageAccounts/securityOperators/DefenderForStorageSecurityOperator",
"0d36b6e7-d1a0-48fe-be28-11da88b125aa","4fa46669-56c9-44e7-a69b-182480b952a8","Azure Orbital Resource Provider","Microsoft Services"
"0dc4689e-f877-409b-a748-51fbc97c1a7f","b4534cf3-4a32-48e6-b25f-34ef775bf090","ASC provisioning default LA agent Linux Arc",
"0e2ab651-7d4a-4119-b36e-917745c319f4","e935b4a5-8968-416d-8414-caed51c782a9","MicrosoftGuestConfiguration","Microsoft Services"
"0e79c685-d994-46d8-8c87-2a6f9fcd6256","ad0e1c7e-6d38-4ba4-9efd-0bc77ba9f037","Microsoft.Azure.Frontdoor","Microsoft"
"0e945a55-8313-483b-8ccf-66970ddffc26","0cd79364-7a90-4354-9984-6e36c841418d","Access IoT Hub Device Provisioning Service","Microsoft Services"
"0f803451-aa72-4153-8752-6b18208310a9","3340b944-b12e-47d0-b46b-35f08ec1d8ee","SPAuthEvent","Microsoft Services"
"100b5499-707a-48e9-a5bd-5a5c940e69c2","d2a0a418-0aac-4541-82b2-b3142c89da77","Microsoft Operations Management Suite","Microsoft Services"
"100e944b-50e1-4d4d-b194-8a3088f2cf3d","d52792f4-ba38-424d-8140-ada5b883f293","AAD Terms Of Use","Microsoft Services"
"100f5a43-2386-4c8f-ab8b-04b536aa466f","0c6620df-7b29-44de-8ba4-688a56a20f9f","Azure Marketplace Datadog","Microsoft Services"
"1096822a-cbc4-4930-9c7e-0d7b4b756e30","b27370f0-c0ee-4463-a997-d93fd814aa35","Test Base for M365 - Billing","Microsoft Services"
"10c3fb29-733f-4910-949c-78fe598f9632","6872b314-67ab-4a16-98e7-a663b0f772c3","Office365 Shell SS-Server Default","Microsoft Services"
"10f114c2-420c-45cd-b0bb-7e2b38b4dd84","6d714e91-5638-46cc-a2fe-7028496eb614","Liftr-NR-FPA-WW-AME","Microsoft Services"
"1170a7d5-5293-49ae-b0c6-438b13bcdb87","ca0a114d-6fbc-46b3-90fa-2ec954794ddb","Microsoft Device Management Checkin","Microsoft Services"
"12474b65-1d43-40a2-8dd8-80d3479c41ed","34b0fb60-d1f7-4ba0-9173-4c237f1a2712","SS Migration App","Microsoft Services"
"1263040c-75be-4fca-baa9-48fef1cdbe8b","4acf9818-f6d8-4e52-b8f1-34c9c6b1c1e5","DemoSansSPN","nonprodborges.com"
"12969490-872b-4b0c-8c90-1e1f0c372d53","9e4a5442-a5c9-4f6f-b03f-5b9fcaaf24b1","OfficeServicesManager","Microsoft Services"
"136471b1-4d80-4de3-867f-65398ca598d2","1220eac7-3b19-4572-be70-aa544a2e5f74","Microsoft Security DevOps","Microsoft Services"
"138c2df8-1359-4ed0-a855-02d3e3c2f06e","a0be0c72-870e-46f0-9c49-c98333a996f7","AzureDnsFrontendApp","Microsoft Services"
"13b40a24-dd56-4f79-bcea-5fc16d0eafcd","bb55177b-a7d9-4939-a257-8ab53a3b2bc6","Azure Arc Data Services","Microsoft Services"
"141a0ffa-8d6f-4370-9516-1b31a803628a","918d0db8-4a38-4938-93c1-9313bdfe0272","asmcontainerimagescanner","Microsoft Services"
"141c38ce-0b3c-41e6-b46b-6dab13e15008","35ffadb3-7fc1-497e-b61b-381d28e744cc","Azure App Configuration","Microsoft Services"
"1448955e-488c-429f-bfff-a5b6fc04b0e4","9c8b80bc-6887-42d0-b1af-d0c40f9bf1fa","Azure SQL Managed Instance to Azure AD Resource Provider","Microsoft Services"
"149ce167-b3a5-4845-bf09-1267fc7c06ff","a68e1e61-ad4f-45b6-897d-0a1ea8786345","Office365 Shell WCSS-Server Default","Microsoft Services"
"14b38989-f8b4-4b66-8a78-430ca10b01a1","5b534afd-fdc0-4b38-a77f-af25442e3149","Microsoft Support Diagnostics","Microsoft Services"
"14c73a30-c91e-4339-9c5d-d8279bfe7860","959678cf-d004-4c22-82a6-d2ce549a58b8","Microsoft_Azure_Support","Microsoft Services"
"14f792f2-0874-478e-90f0-637002789be8","3af5a1e8-2459-45cb-8683-bcd6cccbcc13","Azure Smart Alerts","Microsoft Services"
"1501c888-b060-4e4f-a9f6-ffbce33b1605","61c50b89-703d-431d-8d80-1e8618748775","Azure Machine Learning OpenAI","Microsoft Services"
"150678b6-185f-4f22-97a5-4dcc41e4df00","aeb86249-8ea3-49e2-900b-54cc8e308f85","M365 License Manager","Microsoft Services"
"157b850b-ffc1-44c8-99c2-09082e9338ce","ba4bc2bd-843f-4d61-9d33-199178eae34e","Appliance Resource Provider","Microsoft Services"
"15849468-32af-4ff6-8324-7799c3980287","2368d027-f996-4edb-bf48-928f98f2ab8c","DoNotDelete-DataBoxEdgeNGatewayManagedApp","Microsoft Services"
"15f9c372-d646-45d8-82d8-a96fd6e01e95","36e2398c-9dd3-4f29-9a72-d9f2cfc47ad9","CosmosDB Dedicated Instance","Microsoft Services"
"16377dc6-ba8f-47bf-a219-13de70f47684","0cd6ff8b-c8a8-4ab6-8f60-516f5bc5354a","Sonarcloud","SonarSource"
"163f6b7f-31b3-41a3-abe8-260522616eab","3960376b-619e-415f-ad59-3e9b187b0954","Azure Workloads EPIC Service","Microsoft Services"
"16572c66-b80c-4b2d-a7a0-96e5029840ff","cd48ad54-53cb-49f7-ba5f-bc0096bb1166","GSA-Privateaccesstrafficforwardingprofile","nonprodborges.com"
"17214c3d-fba6-4e9c-b4e5-73402366dfc7","fbb0ac1a-82dd-478b-a0e5-0b2b98ef38fe","Substrate-FileWatcher","Microsoft Services"
"17d8f064-7beb-4151-a0fa-13ecd63432fc","886b3ae5-8ee1-4bb4-a312-b35341a95909","Syntex Resource Provider","Microsoft Services"
"180573f3-f605-4327-8b13-c205521a402e","b5a60e17-278b-4c92-a4e2-b9262e66bb28","Azure MFA StrongAuthenticationService","Microsoft Services"
"1847a116-80bb-47c0-9f9d-a60fe4c21f74","aff75787-e598-43f9-a0ea-7a0ca00ababc","MOD Demo Platform UnifiedApiConsumer","Microsoft Office Demos"
"1858bd82-9c32-41d0-9dfa-3b6355f72d0b","6388acc4-795e-43a9-a320-33075c1eb83b","Azure Orbital Planetary Computer","Microsoft Services"
"1947f154-b41c-45fb-956e-5b3cba4afbc4","d4398a72-b879-49e5-9f3a-ff22c32efb42","Standby Pool Resource Provider","Microsoft Services"
"19498b0e-11ca-4293-a315-fea6ec9aa918","78e7bc61-0fab-4d35-8387-09a8d2f5a59d","Yggdrasil","Microsoft Services"
"19624813-beba-489e-9032-da052a0172c5","b97b6bd4-a49f-4a0c-af18-af507d1da76c","Office Shredding Service","Microsoft Services"
"1a40a079-019c-4c5e-8a66-756954172eac","6cc6281b-5127-4e79-8f6f-8ca4b2276fda","Mobile Packet Core","Microsoft Services"
"1a5f31a4-ee10-4c5f-b507-2072eb6a23a5","1efe5bbf-d5b1-4fe9-99fa-f55ce1c88679","DNC","Microsoft Services"
"1ad9d9be-3ef4-4c7d-b45b-fb7f398c9d82","96231a05-34ce-4eb4-aa6a-70759cbb5e83","MicrosoftAzureRedisCache","Microsoft Services"
"1b00b7bf-2fb3-425c-ac3e-ee82f2d9d7a1","fd225045-a727-45dc-8caa-77c8eb1b9521","Azure Diagnostics Resource Provider","Microsoft Services"
"1b0404cb-35c3-4ba8-bf58-b95e184f7aef","6201d19e-14fb-4472-a2d6-5634a5c97568","Event Hub MSI App","Microsoft Services"
"1b09c17e-773d-40c5-b42d-8bda79805f7e","c040db86-bc0e-4b6b-a95d-6450ad2ce1aa","[Azure Bot] nonprodbot - Azure Bot infraborges","nonprodborges.com"
"1b11f7d9-a983-4f7f-840c-84008f8b4587","fc780465-2017-40d4-a0c5-307022471b92","WindowsDefenderATP","Microsoft Services"
"1b1e485a-4c64-4364-ad99-8a5f13235302","7cd684f4-8a78-49b0-91ec-6a35d38739ba","Azure Logic Apps","Microsoft Services"
"1bc54f87-2042-49de-bdd5-d0ea7cdd090a","cd3454bc-4b9c-47d4-a8e5-93717dba34ec","Azure Site Recovery MRG Application","Microsoft Services"
"1bea0f73-05fe-4af7-9b5b-d739d28eed48","54a2195e-8365-444c-8f50-4a5de4be1e2b","Liftr-PAN-RPaaS-FPA-Prod","Microsoft Services"
"1c66fa8a-9641-439b-9a8a-27387d9eac11","2793995e-0a7d-40d7-bd35-6968ba142197","My Apps","Microsoft Services"
"1c80abf7-0f13-4765-844c-93fc4e1e542a","2233b157-f44d-4812-b777-036cdaf9a96e","Azure Cloud Shell","Microsoft Services"
"1d05fd10-cd0b-4f21-ba2d-8bdd2d3a7226","00000002-0000-0ff1-ce00-000000000000","Office 365 Exchange Online","Microsoft Services"
"1d94a801-7fc0-4dc5-a989-43fe829789cd","9e133cac-5238-4d1e-aaa0-d8ff4ca23f4e","Conferencing Virtual Assistant","Microsoft Services"
"1e014798-db66-40dd-89f9-2d1983cd9cb6","74e6a066-dc08-4f09-b7db-63671913f210","Microsoft Connected Cache","Microsoft Services"
"1e2a6607-a59c-4928-9908-5d488e1532a2","2a92db00-6bab-4f32-8a21-08c056f57105","MngEnvMCAP008355demo-DemoWebAppWithContainers-3464f809-852d-45e3-846c-f5411419cc83","nonprodborges.com"
"1e5a587a-ae17-43c8-b3a3-d2c5489b6882","c9e0b461-3515-4a03-b576-ede91ed4336d","ConfidentialLedgerDataPlane","Microsoft Services"
"1e93baf5-9faa-43bf-a897-df1f4553b48a","6dae42f8-4368-4678-94ff-3960e28e3630","Azure Kubernetes Service AAD Server","Microsoft Services"
"1e9de797-be80-42ba-bc1b-9ffbf4173f1c","00000001-0000-0000-c000-000000000000","Azure ESTS Service","Microsoft Services"
"1e9e5765-7b0d-49d0-b72a-4f8acf51184e","c7bb12bf-0b39-4f7f-9171-f418ff39b76a","Azure Lab Services","Microsoft Services"
"1f34cf14-10d2-4088-8a44-69fb55e3eb9e","e7d5afaf-5e93-4aad-b546-878812ff572c","Azure Sphere Resource Provider","Microsoft Services"
"1f6f5d9f-5ca5-48c1-b468-fa8203679509","27a762be-14e7-4f92-899c-151877d6d497","Bot Service CMEK Prod","Microsoft Services"
"1f7f6536-5827-4466-9299-d5f3df6bfb42","a0551534-cfc9-4e1f-9a7a-65093b32bb38","AzureLockbox","Microsoft Services"
"1fff9ff0-4e6b-46f5-a9fa-5f9408c2f89d","3caf7e80-c1dc-4cbc-811c-d281c9d5e45c","Microsoft.NotificationHubs","Microsoft Services"
"2022a92b-5da2-4e82-b3b4-52df5df4bc72","75513c96-801d-4559-830a-6754de13dd19","M365 Label Analytics","Microsoft Services"
"20539d49-a013-41d1-afed-c291a92121b5","6e99704e-62d5-40f6-b2fe-90aafbe3a710","OCaaS Experience Management Service","Microsoft Services"
"20a6c83f-e942-4b90-8648-883710ffaa7e","f1dd0a37-89c6-4e07-bcd1-ffd3d43d8875","Azure Red Hat OpenShift RP","Microsoft Services"
"20f1d4ce-8960-48d3-996c-4a23eeaf7bd1","aed824f0-6446-4ef9-9e17-98b0157c09dc","Storage Mover UserRP","Microsoft Services"
"2110d844-8299-44e8-b027-3d94849f6276","29820072-374d-49b8-945a-3941d7e9b468","SonarDaaSAPI","Microsoft Services"
"21735ac9-ffb4-4e8d-b8d2-882a370fb708","981f26a1-7f43-403b-a875-f8b09b8cd720","Azure Multi-Factor Auth Client","Microsoft Services"
"21fb0dab-ae16-4e1a-aae9-16b75349daa1","e57f63fd-b926-4ce8-9f8b-6e28dff76481","OpenCostAccess","nonprodborges.com"
"2200adf5-91f8-4f33-a82d-52152b59ecf7","57c0fc58-a83a-41d0-8ae9-08952659bdfd","Azure Cosmos DB Virtual Network To Network Resource Provider","Microsoft Services"
"221b96fa-57a4-453a-a319-e5b107c30c5f","ea890292-c8c8-4433-b5ea-b09d0668e1a6","Azure Credential Configuration Endpoint Service","Microsoft Services"
"22a20054-c564-43c3-8e07-6b68339d9002","584a29b4-7876-4445-921e-71e427d4f4b3","Azure Spring Cloud Domain-Management Dogfood","Microsoft Services"
"22a495b7-4036-4ecc-af4a-de9e1abc93dd","00000007-0000-0000-c000-000000000000","Dataverse","Microsoft Services"
"22cbcd72-e0c3-4533-9d0f-1c45773c6acb","a12e8ccb-0fcd-46f8-b6a1-b9df7a9d7231","Azure Arc Data Services Billing","Microsoft Services"
"22e42cb8-65a0-42b5-84df-2d71e876d024","00000004-0000-0ff1-ce00-000000000000","Skype for Business Online","Microsoft Services"
"22ffd893-213c-4e30-9b4b-c3ed4993f89f","880da380-985e-4198-81b9-e05b1cc53158","Azure Cognitive Search","Microsoft Services"
"23a168cb-3871-4bbf-ba0b-85a45a5381a7","150c8903-2280-4ab6-8708-b080044d94c6","Autonomous Development Platform","Microsoft Services"
"24aefe9a-ea13-45a1-9ad8-4514f7993c48","8ae6a0b1-a07f-4ec9-927a-afb8d39da81c","Microsoft Device Management EMM API","Microsoft Services"
"2584e7a5-ef80-4afb-9ee4-1be3af215623","40c49ff3-c6ae-436d-b28e-b8e268841980","Microsoft Azure Network Copilot","Microsoft Services"
"25b674c5-fd26-4556-a34f-50f86b029271","9ae330ab-d710-466b-851c-c828e7340846","MicrosoftAutomanaged","Microsoft Services"
"25da43ab-e530-4a1b-b125-bfafa408ee71","b7230f28-13ea-4388-abac-e977ed617a8f","Meeting Scheduler and Recorder (Power Virtual Agents)","nonprodborges.com"
"26600c4b-c8eb-4cc2-a8b1-0f652beb6d84","0fa37baf-7afc-4baf-ab2d-d5bb891d53ef","Microsoft Teams ATP Service","Microsoft Services"
"26ea48ad-4ddc-4ba2-9521-8b3026a86c97","e5408ad0-c4e2-43aa-b6f2-3b4951286d99","Azure Cost Management Exports","Microsoft Services"
"271b1326-58ca-47fe-9cdb-47cee271be07","16f9e0a0-ac78-4c2c-a55a-f3855317a63a","AnyBuild Service","Microsoft Services"
"28478374-14ad-42e3-b83e-c9a52550fef3","509e4652-da8d-478d-a730-e9d4a1996ca4","Azure Resource Graph","Microsoft Services"
"28584cac-1462-4ac4-aa18-4cfec326102c","b8340c3b-9267-498f-b21a-15d5547fd85e","Hyper-V Recovery Manager","Microsoft Services"
"28a0c489-f064-4761-805d-b331d7845fb0","11cd3e2e-fccb-42ad-ad00-878b93575e07","Automated Call Distribution","Microsoft Services"
"28c02c5b-35df-45c8-acb4-d2e17a676f33","eace8149-b661-472f-b40d-939f89085bd4","Substrate Instant Revocation Pipeline","Microsoft Services"
"28d1acd4-da82-4e40-98c6-0316176d0195","7bf610f7-ecaf-43a2-9dbc-33b14314d6fe","Microsoft.SecurityDevOps Resource Provider","Microsoft Services"
"293a5a25-b6fc-4abc-ac06-e3f24e8d0529","aa813f0e-407a-459d-93af-805f2bf10f33","Substrate Conversation Intelligence Service","Microsoft Services"
"299beaf4-58c9-405e-9b24-663a8bf1fa7d","cc5476ec-3074-44d1-8461-711f5d9b0e39","HanaOnAzureResourceProvider","Microsoft Services"
"29ab0d7f-a8f4-49ef-a845-2eb756a25492","3b2fa68d-a091-48c9-95be-88d572e08fb7","AzureBackupReporting","Microsoft Services"
"2a108bd0-e6b0-4cc3-89b4-30089b0b0650","d08178d6-9364-4b74-a848-890a99786d01","Defender for Containers provisioning Policy extension for Arc-e",
"2a541dae-4a03-4ba1-a1cc-55f7fe4b4ac2","50e95039-b200-4007-bc97-8d5790743a63","Azure Virtual Desktop ARM Provider","Microsoft Services"
